year,rcp,global_ce_dmg,global_dmg,global_dmg_old,gdp,pct_gdp_ce,pct_gdp,pct_gdp_old
2064,rcp45,548264074788.99023,544274883644.27386,544274883644.2774,203714091617862.94,0.002691340939818004,0.002671758636438621,0.0026717586364386385
2064,rcp85,1029463756752.6293,1019747895183.5046,1019747895183.513,203714091617862.94,0.005053473466547168,0.00500577985099037,0.005005779850990411
2065,rcp45,575902601096.7452,571939766171.09375,571939766171.0979,205535357365321,0.0028019636547162493,0.0027826831037859883,0.0027826831037860086
2065,rcp85,1019522310764.2854,1009026751334.3918,1009026751334.3998,205535357365321,0.004960325677455944,0.004909261181476118,0.004909261181476156
2066,rcp45,603895873810.0115,599669773664.1361,599669773664.1401,207305535350039.8,0.0029130716301922206,0.0028926857773073013,0.0028926857773073204
2066,rcp85,1137396346326.9365,1126399679497.8777,1126399679497.8857,207305535350039.8,0.005486570073521764,0.005433524375487262,0.005433524375487301
2067,rcp45,627487188948.4161,622505274430.7947,622505274430.7983,209097490678199.84,0.0030009312254928792,0.0029771054277682733,0.0029771054277682907
2067,rcp85,1189857178048.2424,1177299531826.1985,1177299531826.207,209097490678199.84,0.00569044216737841,0.005630385749765201,0.005630385749765243
2068,rcp45,635510875427.6476,630772691820.5149,630772691820.5186,211175624883445.84,0.0030093950273778285,0.00298695785637503,0.0029869578563750474
2068,rcp85,1283737074695.3608,1268477674581.869,1268477674581.8772,211175624883445.84,0.006079002135799971,0.0060067428486691105,0.0060067428486691495
2069,rcp45,604130466741.1326,599365386270.8843,599365386270.8877,213035797024550.7,0.0028358166804779354,0.0028134491697740928,0.002813449169774109
2069,rcp85,1348613129183.742,1334247593444.9036,1334247593444.9126,213035797024550.7,0.006330453135199269,0.006263020638222327,0.006263020638222369
2070,rcp45,666270152463.7804,660944754276.0187,660944754276.0222,214919444863411.2,0.0031000924690049256,0.0030753138911933826,0.003075313891193399
2070,rcp85,1366814405987.0225,1352592768105.7964,1352592768105.8052,214919444863411.2,0.006359659112537168,0.0062934871666238314,0.006293487166623872
2071,rcp45,643688205026.347,638824475021.0878,638824475021.0919,216709718126529.8,0.0029702784470907683,0.0029478349219581317,0.002947834921958151
2071,rcp85,1466010099787.976,1447263239900.3232,1447263239900.332,216709718126529.8,0.006764856290071957,0.00667834951017431,0.006678349510174351
2072,rcp45,673265704256.3481,667710338123.9027,667710338123.9071,218522169961514.8,0.0030809949598016566,0.0030555725226483746,0.003055572522648395
2072,rcp85,1637049734172.2473,1616412963511.7444,1616412963511.753,218522169961514.8,0.007491458347043494,0.007397020466145015,0.007397020466145054
2073,rcp45,713255670665.3285,707373639115.5007,707373639115.5044,220815478749563,0.0032300981557287682,0.0032034603874747645,0.003203460387474781
2073,rcp85,1580955600108.0146,1562100648234.824,1562100648234.8335,220815478749563,0.007159623089199508,0.007074235271370963,0.007074235271371006
2074,rcp45,772650479722.5033,766562011497.799,766562011497.8032,222702847690359.34,0.0034694234390607245,0.0034420844611902234,0.003442084461190243
2074,rcp85,1694078996537.5103,1674739334628.9458,1674739334628.9553,222702847690359.34,0.007606903163146422,0.007520062504802197,0.007520062504802239
2075,rcp45,745955593838.7198,740355334507.4945,740355334507.4987,224614225818685.78,0.003321052311445642,0.0032961195214105798,0.0032961195214105984
2075,rcp85,1838839615465.2146,1816796025620.0525,1816796025620.0613,224614225818685.78,0.008186656961565612,0.00808851718540132,0.008088517185401357
2076,rcp45,743051422020.8425,736792336965.7101,736792336965.7142,226453512807771.78,0.0032812536789905843,0.003253614076594813,0.0032536140765948313
2076,rcp85,1888129191606.5664,1862490627915.0735,1862490627915.0825,226453512807771.78,0.008337822488138354,0.008224604709471098,0.008224604709471138
2077,rcp45,853577829319.793,847074375132.8177,847074375132.8224,228315424778941.66,0.0037385902864260686,0.003710105771228412,0.003710105771228432
2077,rcp85,2045278535428.8035,2016016846088.657,2016016846088.6663,228315424778941.66,0.008958126843199807,0.008829963407161799,0.008829963407161839
2078,rcp45,823096838905.1869,816413603829.072,816413603829.0767,230698553755263.62,0.0035678456821986344,0.0035388761244475064,0.0035388761244475263
2078,rcp85,2022185532369.0015,1995283661931.2844,1995283661931.2937,230698553755263.62,0.008765488554012503,0.008648878068165002,0.008648878068165042
2079,rcp45,840303098002.5903,833529909746.3243,833529909746.3291,232637272930204.72,0.0036120742279105726,0.0035829594254072864,0.0035829594254073067
2079,rcp85,2219861429246.3726,2187744133610.8435,2187744133610.8528,232637272930204.72,0.009542157201577797,0.00940409980763145,0.00940409980763149
2080,rcp45,972305103152.2355,963120518728.7076,963120518728.711,234600463063930.25,0.0041445148507114225,0.004105364951757366,0.00410536495175738
2080,rcp85,2353654182025.2344,2316929081859.2207,2316929081859.23,234600463063930.25,0.01003260671904065,0.009876063549064017,0.009876063549064056
2081,rcp45,891927170941.5591,883899787509.7014,883899787509.706,236443589192624.75,0.0037722620181295254,0.003738311495473071,0.0037383114954730903
2081,rcp85,2415882399795.435,2378615992142.7344,2378615992142.744,236443589192624.75,0.010217584701893843,0.01005997244528772,0.010059972445287762
2082,rcp45,940961230108.0372,933434007472.6228,933434007472.6274,238309306724780.5,0.003948487128094993,0.0039169011915704596,0.003916901191570479
2082,rcp85,2544865269002.8477,2504992376154.461,2504992376154.471,238309306724780.5,0.010678832916676102,0.010511517198308312,0.010511517198308356
2083,rcp45,958792752111.3073,951194802216.0897,951194802216.0935,241065466727774.06,0.0039773127405014624,0.003945794539249529,0.003945794539249544
2083,rcp85,2724601689621.2417,2678089746635.826,2678089746635.8364,241065466727774.06,0.011302330966790982,0.011109387765026044,0.011109387765026088
2084,rcp45,955725603108.5806,947945266090.4231,947945266090.4274,243011824530856.88,0.003932835799054814,0.003900819509176007,0.003900819509176025
2084,rcp85,2769699934168.9688,2722562008272.0806,2722562008272.0903,243011824530856.88,0.011397387511969736,0.011203413716711462,0.011203413716711502
2085,rcp45,968329985660.6746,960212332759.2738,960212332759.2788,244982630023861.94,0.003952647522668676,0.003919511896275041,0.003919511896275061
2085,rcp85,2854973868506.98,2797298711071.934,2797298711071.944,244982630023861.94,0.011653780793474615,0.011418355296452937,0.011418355296452977
2086,rcp45,1091179174642.2894,1081028900784.2969,1081028900784.3018,246897982062757.5,0.004419554852274691,0.00437844364604615,0.00437844364604617
2086,rcp85,3025964734800.4756,2969752088246.43,2969752088246.4395,246897982062757.5,0.012255931415556583,0.012028255814142567,0.012028255814142606
2087,rcp45,995523833170.4176,986745967419.7955,986745967419.8,248836863217244.38,0.004000708819019656,0.00396543323469854,0.003965433234698558
2087,rcp85,3118886627239.7754,3063232083885.492,3063232083885.5034,248836863217244.38,0.012533860887471743,0.012310202131149556,0.0123102021311496
2088,rcp45,987169566462.7657,979286360639.1011,979286360639.1052,251774509706832.75,0.003920847934972567,0.0038895373553875096,0.003889537355387526
2088,rcp85,3259353052209.7983,3197729247858.9434,3197729247858.953,251774509706832.75,0.012945524374191025,0.012700766457980166,0.012700766457980206
2089,rcp45,1077736094617.3784,1069048289218.2308,1069048289218.2354,253795178172801.94,0.0042464797888460215,0.004212248226758454,0.004212248226758471
2089,rcp85,3422611081166.818,3351515710555.6963,3351515710555.706,253795178172801.94,0.013485721461723197,0.013205592536016364,0.013205592536016402
2090,rcp45,1077063994567.0704,1067574589069.4637,1067574589069.4685,255841209997204.78,0.004209892513324331,0.004172801516538823,0.004172801516538842
2090,rcp85,3675237868053.7334,3599962813258.944,3599962813258.954,255841209997204.78,0.014365308341427433,0.014071082658256172,0.014071082658256212
2091,rcp45,1116403214667.496,1105832850615.1533,1105832850615.1584,257851354468144.94,0.004329638744656728,0.004288644722833009,0.004288644722833029
2091,rcp85,3761027447860.0605,3685968406340.9517,3685968406340.962,257851354468144.94,0.014586029441721236,0.0142949352115826,0.01429493521158264
2092,rcp45,1139954644892.1035,1130593047305.673,1130593047305.6775,259886104615546.12,0.004386362428181597,0.004350340503884108,0.004350340503884126
2092,rcp85,4062847574448.9336,3977863610889.1816,3977863610889.192,259886104615546.12,0.015633185084901604,0.015306180439210868,0.015306180439210908
2093,rcp45,1083949444472.7195,1074735209572.8773,1074735209572.8824,263361601686972.84,0.004115821887205423,0.004080834877554737,0.0040808348775547565
2093,rcp85,4063410397119.586,3970745425546.6855,3970745425546.6963,263361601686972.84,0.015429016117350649,0.015077161591180808,0.015077161591180848
2094,rcp45,1121819738608.6257,1112563977393.8252,1112563977393.83,265482765428866.12,0.004225584047975453,0.004190720160672454,0.004190720160672472
2094,rcp85,4180699396266.35,4091484208926.923,4091484208926.9346,265482765428866.12,0.015747535963446687,0.015411487078332403,0.015411487078332448
2095,rcp45,1245767466485.3115,1235042741918.3271,1235042741918.332,267630391342300.9,0.004654805682707265,0.004614732787722527,0.004614732787722545
2095,rcp85,4485732815476.696,4376313095522.8774,4376313095522.8877,267630391342300.9,0.01676092462062508,0.016352078228386052,0.01635207822838609
